table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,max_len
access_profile_assignments,1,id,uuid,uuid,NO,gen_random_uuid(),""
access_profile_assignments,2,profile_id,uuid,uuid,NO,"",""
access_profile_assignments,3,user_id,uuid,uuid,NO,"",""
access_profile_assignments,4,assigned_by,uuid,uuid,YES,"",""
access_profile_assignments,5,created_at,timestamp with time zone,timestamptz,NO,now(),""
access_profile_menu_rights,1,id,uuid,uuid,NO,gen_random_uuid(),""
access_profile_menu_rights,2,profile_id,uuid,uuid,NO,"",""
access_profile_menu_rights,3,menu_key,text,text,NO,"",""
access_profile_menu_rights,4,can_view,boolean,bool,NO,false,""
access_profile_menu_rights,5,can_add,boolean,bool,NO,false,""
access_profile_menu_rights,6,can_update,boolean,bool,NO,false,""
access_profile_menu_rights,7,can_delete,boolean,bool,NO,false,""
access_profile_org_scope,1,id,uuid,uuid,NO,gen_random_uuid(),""
access_profile_org_scope,2,profile_id,uuid,uuid,NO,"",""
access_profile_org_scope,3,company_id,uuid,uuid,YES,"",""
access_profile_org_scope,4,division_id,uuid,uuid,YES,"",""
access_profile_org_scope,5,business_unit_id,uuid,uuid,YES,"",""
access_profile_org_scope,6,department_id,uuid,uuid,YES,"",""
access_profile_org_scope,7,designation,text,text,YES,"",""
access_profile_org_scope,8,pms_grade,text,text,YES,"",""
access_profile_org_scope,9,level,text,text,YES,"",""
access_profile_org_scope,10,location,text,text,YES,"",""
access_profiles,1,id,uuid,uuid,NO,gen_random_uuid(),""
access_profiles,2,name,text,text,NO,"",""
access_profiles,3,description,text,text,YES,"",""
access_profiles,4,is_active,boolean,bool,NO,true,""
access_profiles,5,created_by,uuid,uuid,YES,"",""
access_profiles,6,created_at,timestamp with time zone,timestamptz,NO,now(),""
action_registry,1,action_key,text,text,NO,"",""
action_registry,2,module_key,text,text,NO,"",""
action_registry,3,label,text,text,NO,"",""
action_registry,4,description,text,text,YES,"",""
action_registry,5,risk_level,text,text,NO,'low'::text,""
action_registry,6,is_system,boolean,bool,NO,false,""
action_registry,7,client_id,uuid,uuid,YES,"",""
action_registry,8,created_at,timestamp with time zone,timestamptz,NO,now(),""
action_registry,9,updated_at,timestamp with time zone,timestamptz,NO,now(),""
admin_feature_flags,1,key,text,text,NO,"",""
admin_feature_flags,2,value,jsonb,jsonb,NO,'false'::jsonb,""
admin_feature_flags,3,description,text,text,YES,"",""
admin_feature_flags,4,updated_by,uuid,uuid,YES,"",""
admin_feature_flags,5,updated_at,timestamp with time zone,timestamptz,NO,now(),""
admin_feature_flags,6,created_at,timestamp with time zone,timestamptz,NO,now(),""
admin_feature_flags,7,target_roles,ARRAY,_app_role,NO,'{}'::app_role[],""
admin_feature_flags,8,target_user_ids,ARRAY,_uuid,NO,'{}'::uuid[],""
ai_feature_registry,1,feature_key,text,text,NO,"",""
ai_feature_registry,2,module_key,text,text,NO,"",""
ai_feature_registry,3,label,text,text,NO,"",""
ai_feature_registry,4,client_id,uuid,uuid,YES,"",""
ai_feature_registry,5,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_access_audit,1,id,bigint,int8,NO,nextval('annual_review_access_audit_id_seq'::regclass),""
annual_review_access_audit,2,actor_id,uuid,uuid,YES,"",""
annual_review_access_audit,3,target_user_id,uuid,uuid,YES,"",""
annual_review_access_audit,4,action,text,text,NO,"",""
annual_review_access_audit,5,before,jsonb,jsonb,YES,"",""
annual_review_access_audit,6,after,jsonb,jsonb,YES,"",""
annual_review_access_audit,7,reason,text,text,YES,"",""
annual_review_access_audit,8,created_at,timestamp with time zone,timestamptz,NO,now(),""
annual_review_assignment_overrides,1,id,uuid,uuid,NO,gen_random_uuid(),""
annual_review_assignment_overrides,2,instance_id,uuid,uuid,NO,"",""
annual_review_assignment_overrides,3,role,text,text,NO,"",""
annual_review_assignment_overrides,4,new_reviewer_id,uuid,uuid,NO,"",""
annual_review_assignment_overrides,5,reason,text,text,NO,"",""
