table_name,constraint_name,constraint_type,definition
access_profile_assignments,access_profile_assignments_pkey,PRIMARY KEY,PRIMARY KEY (id)
access_profile_assignments,access_profile_assignments_profile_id_user_id_key,UNIQUE,"UNIQUE (profile_id, user_id)"
access_profile_menu_rights,access_profile_menu_rights_pkey,PRIMARY KEY,PRIMARY KEY (id)
access_profile_menu_rights,access_profile_menu_rights_profile_id_menu_key_key,UNIQUE,"UNIQUE (profile_id, menu_key)"
access_profile_org_scope,at_least_one_filter,CHECK,CHECK (((company_id IS NOT NULL) OR (division_id IS NOT NULL) OR (business_unit_id IS NOT NULL) OR (department_id IS NOT NULL) OR (designation IS NOT NULL) OR (pms_grade IS NOT NULL) OR (level IS NOT NULL)))
access_profile_org_scope,access_profile_org_scope_pkey,PRIMARY KEY,PRIMARY KEY (id)
access_profiles,access_profiles_pkey,PRIMARY KEY,PRIMARY KEY (id)
access_profiles,access_profiles_name_key,UNIQUE,UNIQUE (name)
action_registry,action_registry_risk_level_check,CHECK,"CHECK ((risk_level = ANY (ARRAY['low'::text, 'medium'::text, 'high'::text, 'critical'::text])))"
action_registry,action_registry_pkey,PRIMARY KEY,PRIMARY KEY (action_key)
admin_feature_flags,admin_feature_flags_pkey,PRIMARY KEY,PRIMARY KEY (key)
ai_feature_registry,ai_feature_registry_pkey,PRIMARY KEY,PRIMARY KEY (feature_key)
annual_review_access_audit,annual_review_access_audit_action_check,CHECK,"CHECK ((action = ANY (ARRAY['kill_switch_toggled'::text, 'override_upserted'::text, 'override_deleted'::text, 'management_stage.backfilled'::text, 'management_stage.backfilled_bulk'::text, 'management_stage.reverted'::text, 'management_stage.reverted_after'::text, 'bu_terminal_restore'::text, 'collapse_normalise'::text, 'workflow_edited_post_action'::text, 'reviewer_reassigned_supersede'::text, 'system_scores.admin_override'::text])))"
annual_review_access_audit,annual_review_access_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_assignment_overrides,annual_review_assignment_overrides_reason_check,CHECK,CHECK ((length(TRIM(BOTH FROM reason)) >= 3))
annual_review_assignment_overrides,annual_review_assignment_overrides_role_check,CHECK,"CHECK ((role = ANY (ARRAY['manager'::text, 'skip_manager'::text, 'dept_head'::text, 'bu_head'::text, 'hr'::text, 'management'::text])))"
annual_review_assignment_overrides,annual_review_assignment_overrides_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_assignment_overrides,annual_review_assignment_overrides_instance_id_role_key,UNIQUE,"UNIQUE (instance_id, role)"
annual_review_assignment_rules,annual_review_assignment_rules_archetype_code_check,CHECK,"CHECK (((archetype_code IS NULL) OR (archetype_code = ANY (ARRAY['A'::text, 'B'::text, 'C'::text, 'D'::text]))))"
annual_review_assignment_rules,annual_review_assignment_rules_grade_bucket_check,CHECK,"CHECK (((grade_bucket IS NULL) OR (grade_bucket = ANY (ARRAY['M'::text, 'W'::text, 'T'::text, 'other'::text]))))"
annual_review_assignment_rules,annual_review_assignment_rules_min_kra_months_in_ay_check,CHECK,CHECK (((min_kra_months_in_ay >= 0) AND (min_kra_months_in_ay <= 12)))
annual_review_assignment_rules,annual_review_assignment_rules_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_bu_draft_finalise_2026_07,annual_review_bu_draft_finalise_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_bu_head_terminal_audit_2026_07,annual_review_bu_head_terminal_audit_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_bu_removal_repair_2026_07,annual_review_bu_removal_repair_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_criteria_assignments,annual_review_criteria_assignments_grade_code_check,CHECK,CHECK (((grade_code IS NULL) OR ((length(grade_code) >= 1) AND (length(grade_code) <= 32))))
annual_review_criteria_assignments,annual_review_criteria_assignments_weight_pct_check,CHECK,CHECK ((weight_pct >= (0)::numeric))
annual_review_criteria_assignments,annual_review_criteria_assignments_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_criteria_library,annual_review_criteria_library_max_score_check,CHECK,CHECK ((max_score > (0)::numeric))
annual_review_criteria_library,annual_review_criteria_library_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_criteria_library,annual_review_criteria_library_key_key,UNIQUE,UNIQUE (key)
annual_review_cycles,annual_review_cycles_status_check,CHECK,"CHECK ((status = ANY (ARRAY['draft'::text, 'active'::text, 'closed'::text])))"
annual_review_cycles,annual_review_cycles_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_directory_overrides,annual_review_directory_overrides_override_type_check,CHECK,"CHECK ((override_type = ANY (ARRAY['grant_all'::text, 'grant_bu'::text, 'grant_team'::text, 'deny'::text])))"
annual_review_directory_overrides,annual_review_directory_overrides_pkey,PRIMARY KEY,PRIMARY KEY (user_id)
annual_review_downstream_rewind_repair_2026_07,annual_review_downstream_rewind_repair_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_empty_stage_repair_2026_07,annual_review_empty_stage_repair_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_final_backfill_audit_2026_07,annual_review_final_backfill_audit_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_final_score_repair_2026_07,annual_review_final_score_repair_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_head_remap_audit_2026_07,annual_review_head_remap_audit_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_instances,annual_review_instances_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_instances,annual_review_instances_employee_id_cycle_id_key,UNIQUE,"UNIQUE (employee_id, cycle_id)"
annual_review_kra_rehydrate_items,annual_review_kra_rehydrate_items_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_kra_rehydrate_runs,annual_review_kra_rehydrate_runs_mode_check,CHECK,"CHECK ((mode = ANY (ARRAY['dry_run'::text, 'apply'::text, 'rollback'::text])))"
annual_review_kra_rehydrate_runs,annual_review_kra_rehydrate_runs_reason_check,CHECK,CHECK ((char_length(reason) >= 10))
annual_review_kra_rehydrate_runs,annual_review_kra_rehydrate_runs_status_check,CHECK,"CHECK ((status = ANY (ARRAY['running'::text, 'completed'::text, 'failed'::text])))"
annual_review_kra_rehydrate_runs,annual_review_kra_rehydrate_runs_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_mgmt_scope_backfill_2026_07,annual_review_mgmt_scope_backfill_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_missing_system_slot_repair_2026_07,annual_review_missing_system_slot_repair_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_orphan_repair_2026_07,annual_review_orphan_repair_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_proxy_submissions,annual_review_proxy_submissions_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_rescore_audit_2026_07,annual_review_rescore_audit_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_reset_archive,annual_review_reset_archive_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_responses,annual_review_responses_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_responses,annual_review_responses_instance_id_reviewer_role_key,UNIQUE,"UNIQUE (instance_id, reviewer_role)"
annual_review_reviewer_remap_audit_2026_07,annual_review_reviewer_remap_audit_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_reviewer_resync_audit,annual_review_reviewer_resync_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_role_capabilities,ar_role_capabilities_scope_chk,CHECK,"CHECK ((assist_scope = ANY (ARRAY['same_as_search'::text, 'direct_reports_only'::text, 'none'::text])))"
annual_review_role_capabilities,ar_role_capabilities_source_chk,CHECK,"CHECK ((role_source = ANY (ARRAY['admin'::text, 'hr_pms'::text, 'hr_team'::text, 'bu_head'::text, 'hod'::text, 'reporting_manager'::text, 'skip_manager'::text])))"
annual_review_role_capabilities,annual_review_role_capabilities_pkey,PRIMARY KEY,PRIMARY KEY (role_source)
annual_review_self_draft_reassign_audit,annual_review_self_draft_reassign_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_self_review_bundle_items,annual_review_self_review_bundle_items_pkey,PRIMARY KEY,"PRIMARY KEY (bundle_id, field_id)"
annual_review_self_review_library,annual_review_self_review_library_kind_check,CHECK,"CHECK ((kind = ANY (ARRAY['field'::text, 'bundle'::text])))"
annual_review_self_review_library,annual_review_self_review_library_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_self_review_library,annual_review_self_review_library_key_key,UNIQUE,UNIQUE (key)
annual_review_settings,annual_review_settings_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_settings,annual_review_settings_key_key,UNIQUE,UNIQUE (key)
annual_review_stage_transfer_audit_2026_07,annual_review_stage_transfer_audit_2026_07_pkey,PRIMARY KEY,PRIMARY KEY (id)
annual_review_system_kpi_weights,annual_review_system_kpi_weights_grade_bucket_check,CHECK,"CHECK ((grade_bucket = ANY (ARRAY['M'::text, 'W'::text, 'T'::text, 'other'::text])))"
