jobid,jobname,schedule,active,target,embeds_credential
5,weekly-database-backup,0 17 * * *,true,create-backup,true
6,auto-kra-rollover-monthly,0 0 1 * *,true,auto-rollover-kpis,true
9,monthly-review-reminder,"0 8 1,3,5,7,9 * *",true,send-monthly-review-reminder,true
10,daily-query-observation-reminder,30 3 * * *,true,send-query-observation-reminders,true
11,process-scheduled-emails,*/15 * * * *,true,send-scheduled-emails,true
16,asset-calibration-sweep-daily,30 6 * * *,true,asset-calibration-sweep,true
18,bulk-review-auto-revert-daily,15 2 * * *,true,bulk-review-auto-revert,true
20,compress-evidence-daily,30 3 * * *,true,compress-evidence,true
21,check-safety-sla-every-15min,*/15 * * * *,true,check-safety-sla,true
22,safety-analytics-refresh-2h,0 */2 * * *,true,sql:refresh_safety_analytics(),false
23,permit-expiry-sweep-hourly,0 * * * *,true,permit-expiry-sweep,true
24,reap-stuck-backups-hourly,0 * * * *,true,reap-stuck-backups,true
25,annual-review-reminders-daily,30 8 * * *,true,annual-review-reminders,true
27,backup-retention-sweep-daily,30 3 * * *,true,backup-retention-sweep,true
