tbl,conname,cols
access_profile_assignments,access_profile_assignments_assigned_by_fkey,assigned_by
access_profile_assignments,access_profile_assignments_user_id_fkey,user_id
access_profile_org_scope,access_profile_org_scope_business_unit_id_fkey,business_unit_id
access_profile_org_scope,access_profile_org_scope_company_id_fkey,company_id
access_profile_org_scope,access_profile_org_scope_department_id_fkey,department_id
access_profile_org_scope,access_profile_org_scope_division_id_fkey,division_id
ai_feature_registry,ai_feature_registry_module_key_fkey,module_key
annual_review_access_audit,annual_review_access_audit_actor_id_fkey,actor_id
annual_review_assignment_overrides,annual_review_assignment_overrides_created_by_fkey,created_by
annual_review_assignment_overrides,annual_review_assignment_overrides_new_reviewer_id_fkey,new_reviewer_id
annual_review_assignment_rules,annual_review_assignment_rules_created_by_fkey,created_by
annual_review_assignment_rules,annual_review_assignment_rules_template_id_fkey,template_id
annual_review_criteria_assignments,annual_review_criteria_assignments_department_id_fkey,department_id
annual_review_criteria_assignments,annual_review_criteria_assignments_sub_unit_id_fkey,sub_unit_id
annual_review_cycles,annual_review_cycles_created_by_fkey,created_by
annual_review_cycles,annual_review_cycles_reopened_by_fkey,reopened_by
annual_review_directory_overrides,annual_review_directory_overrides_created_by_fkey,created_by
annual_review_instances,annual_review_instances_assigned_rule_id_fkey,assigned_rule_id
annual_review_instances,annual_review_instances_dept_head_id_fkey,dept_head_id
annual_review_instances,annual_review_instances_excluded_by_fkey,excluded_by
annual_review_instances,annual_review_instances_finalized_by_fkey,finalized_by
annual_review_instances,annual_review_instances_template_id_fkey,template_id
annual_review_kra_rehydrate_runs,annual_review_kra_rehydrate_runs_rollback_of_run_id_fkey,rollback_of_run_id
annual_review_role_capabilities,annual_review_role_capabilities_updated_by_fkey,updated_by
annual_review_self_review_bundle_items,annual_review_self_review_bundle_items_field_id_fkey,field_id
annual_review_self_review_library,annual_review_self_review_library_created_by_fkey,created_by
annual_review_settings,annual_review_settings_updated_by_fkey,updated_by
annual_review_system_kpi_weights,annual_review_system_kpi_weights_department_id_fkey,department_id
annual_review_system_kpi_weights,annual_review_system_kpi_weights_sub_unit_id_fkey,sub_unit_id
annual_review_templates,annual_review_templates_created_by_fkey,created_by
