constraint_name,source_table,source_columns,target_table,target_columns,on_delete,on_update
access_profile_assignments_assigned_by_fkey,access_profile_assignments,assigned_by,users,id,NO ACTION,NO ACTION
access_profile_assignments_profile_id_fkey,access_profile_assignments,profile_id,access_profiles,id,CASCADE,NO ACTION
access_profile_assignments_user_id_fkey,access_profile_assignments,user_id,users,id,CASCADE,NO ACTION
access_profile_menu_rights_profile_id_fkey,access_profile_menu_rights,profile_id,access_profiles,id,CASCADE,NO ACTION
access_profile_org_scope_business_unit_id_fkey,access_profile_org_scope,business_unit_id,business_units,id,NO ACTION,NO ACTION
access_profile_org_scope_company_id_fkey,access_profile_org_scope,company_id,companies,id,NO ACTION,NO ACTION
access_profile_org_scope_department_id_fkey,access_profile_org_scope,department_id,departments,id,NO ACTION,NO ACTION
access_profile_org_scope_division_id_fkey,access_profile_org_scope,division_id,divisions,id,NO ACTION,NO ACTION
access_profile_org_scope_profile_id_fkey,access_profile_org_scope,profile_id,access_profiles,id,CASCADE,NO ACTION
access_profiles_created_by_fkey,access_profiles,created_by,users,id,NO ACTION,NO ACTION
action_registry_module_key_fkey,action_registry,module_key,module_registry,module_key,NO ACTION,NO ACTION
ai_feature_registry_module_key_fkey,ai_feature_registry,module_key,module_registry,module_key,NO ACTION,NO ACTION
annual_review_access_audit_actor_id_fkey,annual_review_access_audit,actor_id,users,id,SET NULL,NO ACTION
annual_review_assignment_overrides_created_by_fkey,annual_review_assignment_overrides,created_by,users,id,NO ACTION,NO ACTION
annual_review_assignment_overrides_instance_id_fkey,annual_review_assignment_overrides,instance_id,annual_review_instances,id,CASCADE,NO ACTION
annual_review_assignment_overrides_new_reviewer_id_fkey,annual_review_assignment_overrides,new_reviewer_id,users,id,NO ACTION,NO ACTION
annual_review_assignment_rules_created_by_fkey,annual_review_assignment_rules,created_by,users,id,NO ACTION,NO ACTION
annual_review_assignment_rules_cycle_id_fkey,annual_review_assignment_rules,cycle_id,annual_review_cycles,id,CASCADE,NO ACTION
annual_review_assignment_rules_template_id_fkey,annual_review_assignment_rules,template_id,annual_review_templates,id,CASCADE,NO ACTION
annual_review_criteria_assignments_criterion_id_fkey,annual_review_criteria_assignments,criterion_id,annual_review_criteria_library,id,CASCADE,NO ACTION
annual_review_criteria_assignments_department_id_fkey,annual_review_criteria_assignments,department_id,departments,id,CASCADE,NO ACTION
annual_review_criteria_assignments_sub_unit_id_fkey,annual_review_criteria_assignments,sub_unit_id,business_unit_sub_units,id,CASCADE,NO ACTION
annual_review_cycles_created_by_fkey,annual_review_cycles,created_by,users,id,NO ACTION,NO ACTION
annual_review_cycles_reopened_by_fkey,annual_review_cycles,reopened_by,users,id,NO ACTION,NO ACTION
annual_review_directory_overrides_created_by_fkey,annual_review_directory_overrides,created_by,users,id,SET NULL,NO ACTION
annual_review_directory_overrides_user_id_fkey,annual_review_directory_overrides,user_id,profiles,id,CASCADE,NO ACTION
annual_review_instances_assigned_rule_id_fkey,annual_review_instances,assigned_rule_id,annual_review_assignment_rules,id,NO ACTION,NO ACTION
annual_review_instances_bu_head_id_fkey,annual_review_instances,bu_head_id,profiles,id,NO ACTION,NO ACTION
annual_review_instances_cycle_id_fkey,annual_review_instances,cycle_id,annual_review_cycles,id,CASCADE,NO ACTION
annual_review_instances_dept_head_id_fkey,annual_review_instances,dept_head_id,profiles,id,SET NULL,NO ACTION
annual_review_instances_employee_id_fkey,annual_review_instances,employee_id,profiles,id,CASCADE,NO ACTION
annual_review_instances_excluded_by_fkey,annual_review_instances,excluded_by,users,id,NO ACTION,NO ACTION
annual_review_instances_finalized_by_fkey,annual_review_instances,finalized_by,users,id,NO ACTION,NO ACTION
annual_review_instances_hr_id_fkey,annual_review_instances,hr_id,profiles,id,NO ACTION,NO ACTION
annual_review_instances_management_id_fkey,annual_review_instances,management_id,profiles,id,NO ACTION,NO ACTION
annual_review_instances_manager_id_fkey,annual_review_instances,manager_id,profiles,id,NO ACTION,NO ACTION
annual_review_instances_skip_id_fkey,annual_review_instances,skip_id,profiles,id,NO ACTION,NO ACTION
annual_review_instances_template_id_fkey,annual_review_instances,template_id,annual_review_templates,id,NO ACTION,NO ACTION
annual_review_instances_template_override_id_fkey,annual_review_instances,template_override_id,annual_review_templates,id,SET NULL,NO ACTION
annual_review_kra_rehydrate_items_instance_id_fkey,annual_review_kra_rehydrate_items,instance_id,annual_review_instances,id,CASCADE,NO ACTION
annual_review_kra_rehydrate_items_run_id_fkey,annual_review_kra_rehydrate_items,run_id,annual_review_kra_rehydrate_runs,id,CASCADE,NO ACTION
annual_review_kra_rehydrate_runs_cycle_id_fkey,annual_review_kra_rehydrate_runs,cycle_id,annual_review_cycles,id,CASCADE,NO ACTION
annual_review_kra_rehydrate_runs_rollback_of_run_id_fkey,annual_review_kra_rehydrate_runs,rollback_of_run_id,annual_review_kra_rehydrate_runs,id,NO ACTION,NO ACTION
annual_review_proxy_submissions_employee_user_id_fkey,annual_review_proxy_submissions,employee_user_id,profiles,id,CASCADE,NO ACTION
annual_review_proxy_submissions_instance_id_fkey,annual_review_proxy_submissions,instance_id,annual_review_instances,id,CASCADE,NO ACTION
annual_review_proxy_submissions_proxy_user_id_fkey,annual_review_proxy_submissions,proxy_user_id,profiles,id,RESTRICT,NO ACTION
annual_review_responses_instance_id_fkey,annual_review_responses,instance_id,annual_review_instances,id,CASCADE,NO ACTION
annual_review_responses_reviewer_id_fkey,annual_review_responses,reviewer_id,profiles,id,NO ACTION,NO ACTION
annual_review_role_capabilities_updated_by_fkey,annual_review_role_capabilities,updated_by,users,id,SET NULL,NO ACTION
annual_review_self_review_bundle_items_bundle_id_fkey,annual_review_self_review_bundle_items,bundle_id,annual_review_self_review_library,id,CASCADE,NO ACTION
