function_name,classification,frontend_calls,edge_calls,db_body_mentions,trigger_bindings,sample_caller
_ar_enqueue_email,undetermined,0,0,0,0,
_ar_role_caps_touch,trigger_function,0,0,0,1,
_derive_self_value_from_score,undetermined,0,0,0,0,
_filter_files_for_employee,db_internal_helper,0,0,2,0,
_self_profile_locked_snapshot,undetermined,0,0,0,0,
acknowledge_annual_review_instance,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
activate_permit,rpc_frontend,1,0,0,0,src/hooks/useSafetyPermits.ts
admin_apply_system_scores_upgrade,rpc_frontend,1,0,0,0,src/services/annualReview/cycleBulkDataUpload.ts
admin_reassign_orphaned_reviewers,rpc_frontend,1,0,0,0,src/components/annual-review/OrphanedReviewsTab.tsx
admin_rescale_dust_emission_june_2026,undetermined,0,0,0,0,
advance_annual_review_status,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
aggregate_sub_period_scores,undetermined,0,0,0,0,
alert_on_reviewer_deactivation,trigger_function,0,0,0,1,
analyze_workflow_global_default_migration,rpc_frontend,1,0,1,0,src/components/admin/MigrateGlobalDefaultsDialog.tsx
annual_review_accessible_instances,db_internal_helper,0,0,3,0,
annual_review_bu_head_terminal_diagnostic,undetermined,0,0,0,0,
annual_review_compute_final_score,undetermined,0,0,0,0,
annual_review_compute_final_summary,db_internal_helper,0,0,4,0,
annual_review_directory_access,db_internal_helper,0,0,10,0,
annual_review_downstream_rewind_diagnostic,undetermined,0,0,0,0,
annual_review_edit_workflow,rpc_frontend,1,0,0,0,src/services/annualReview/annualReviewService.ts
annual_review_effective_chain,db_internal_helper,0,0,5,0,
annual_review_effective_chain_details,db_internal_helper,0,0,4,0,
annual_review_effective_template_id,undetermined,0,0,1,0,
annual_review_employee_has_login,undetermined,0,0,1,0,
annual_review_first_pending_status,undetermined,0,0,1,0,
annual_review_instances_validate_weights_tg,trigger_function,0,0,0,1,
annual_review_last_send_back,rpc_frontend,1,0,0,0,src/hooks/useAnnualReview.ts
annual_review_next_status,db_internal_helper,0,0,2,0,
annual_review_prev_role,undetermined,0,0,1,0,
annual_review_prev_status,undetermined,0,0,1,0,
annual_review_rehydrate_kra_for_cycle,rpc_frontend,1,0,0,0,src/services/annualReview/kraRehydrate.ts
annual_review_repair_downstream_rewind,undetermined,0,0,0,0,
annual_review_resolve_final_rating,db_internal_helper,0,0,3,0,
annual_review_reviewer_slot_diagnostic,undetermined,0,0,1,0,
