function_name,arguments,returns,security_definer,volatility,language,config,owner,grantees,body_length
_ar_enqueue_email,"p_template_key text, p_recipient_id uuid, p_metadata jsonb",void,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",499
_ar_role_caps_touch,"",trigger,f,VOLATILE,plpgsql,"",postgres,"PUBLIC,sandbox_exec",111
_derive_self_value_from_score,"p_self_score numeric, p_criteria text, p_uom_type text, p_target numeric, p_r5 text, p_r4 text, p_r3 text, p_r2 text, p_r1 text, p_r0 text",numeric,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1853
_filter_files_for_employee,"p_files jsonb, p_employee_id uuid, p_department_id uuid",jsonb,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1164
_self_profile_locked_snapshot,"",profiles,t,STABLE,sql,search_path=public,postgres,sandbox_exec,62
acknowledge_annual_review_instance,"p_instance_id uuid, p_rebuttal text",void,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,1259
activate_permit,p_permit_id uuid,jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,2058
admin_apply_system_scores_upgrade,"p_instance_id uuid, p_system_scores jsonb, p_system_scores_raw jsonb, p_total_score numeric, p_final_rating text, p_reason text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,3975
admin_reassign_orphaned_reviewers,"p_instance_ids uuid[], p_stage text, p_new_reviewer_id uuid, p_reason text",jsonb,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2379
admin_rescale_dust_emission_june_2026,p_dry_run boolean,"TABLE(employee_code text, employee_name text, kpi_id uuid, submission_id uuid, old_self_value numeric, new_cases numeric, old_self_score numeric, new_self_score numeric, old_manager_score numeric, new_manager_score numeric, old_hr_score numeric, new_hr_score numeric, old_final_score numeric, new_final_score numeric, action text)",t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,8873
advance_annual_review_status,"p_instance_id uuid, p_reviewer_role annual_reviewer_role",annual_review_status,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",10255
aggregate_sub_period_scores,"p_kpi_id uuid, p_month text, p_year integer",numeric,t,VOLATILE,plpgsql,search_path=public,postgres,sandbox_exec,452
alert_on_reviewer_deactivation,"",trigger,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1168
analyze_workflow_global_default_migration,"","TABLE(bucket text, source_config_id uuid, config_type text, config_value text, review_period text, review_year integer, global_template_id uuid, existing_period_template_id uuid, reason text)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,2733
annual_review_accessible_instances,p_cycle_id uuid,TABLE(instance_id uuid),t,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1319
annual_review_bu_head_terminal_diagnostic,p_cycle_id uuid,"TABLE(instance_id uuid, employee_id uuid, employee_code text, employee_name text, overall_status text, enabled_stages jsonb, bu_names text, current_dept_head_id uuid, projected_status text, projected_chain jsonb)",t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,1304
annual_review_compute_final_score,"p_stage_weights jsonb, p_responses_by_role jsonb, p_system_score_total numeric, p_criteria_weighted_score numeric",jsonb,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1734
annual_review_compute_final_summary,p_instance_id uuid,"TABLE(criteria_weighted_score numeric, total_score numeric, final_rating text)",f,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",4090
annual_review_directory_access,v_uid uuid,jsonb,t,STABLE,plpgsql,search_path=public,postgres,sandbox_exec,9194
annual_review_downstream_rewind_diagnostic,"","TABLE(instance_id uuid, employee_code text, full_name text, overall_status text, latest_locked_role text)",t,STABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",811
annual_review_edit_workflow,"p_instance_id uuid, p_enabled_stages jsonb, p_reviewer_overrides jsonb, p_reason text, p_mode text",void,t,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2111
annual_review_effective_chain,p_instance_id uuid,jsonb,f,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",480
annual_review_effective_chain_details,p_instance_id uuid,"TABLE(stage annual_reviewer_role, reviewer_id uuid, skipped boolean, skip_reason text, duplicate_of annual_reviewer_role)",f,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",2364
annual_review_effective_template_id,p_instance_id uuid,uuid,f,STABLE,sql,search_path=public,postgres,"PUBLIC,sandbox_exec",122
annual_review_employee_has_login,p_employee_id uuid,boolean,t,STABLE,sql,"search_path=public, auth",postgres,sandbox_exec,90
annual_review_first_pending_status,p_enabled jsonb,annual_review_status,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",548
annual_review_instances_validate_weights_tg,"",trigger,f,VOLATILE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",363
annual_review_last_send_back,p_instance_id uuid,"TABLE(sent_back_at timestamp with time zone, performed_by uuid, performer_name text, from_stage text, to_stage text, reason text)",t,STABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1094
annual_review_next_status,"p_enabled jsonb, p_current annual_review_status",annual_review_status,f,IMMUTABLE,plpgsql,search_path=public,postgres,"PUBLIC,sandbox_exec",1249
