table_name,grantee,privileges
access_profile_assignments,sandbox_exec,"INSERT,SELECT"
access_profile_menu_rights,sandbox_exec,"INSERT,SELECT"
access_profile_org_scope,sandbox_exec,"INSERT,SELECT"
access_profiles,sandbox_exec,"INSERT,SELECT"
action_registry,sandbox_exec,"INSERT,SELECT"
admin_feature_flags,sandbox_exec,"INSERT,SELECT"
ai_feature_registry,sandbox_exec,"INSERT,SELECT"
annual_review_access_audit,sandbox_exec,"INSERT,SELECT"
annual_review_assignment_overrides,sandbox_exec,"INSERT,SELECT"
annual_review_assignment_rules,sandbox_exec,"INSERT,SELECT"
annual_review_bu_draft_finalise_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_bu_head_terminal_audit_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_bu_removal_repair_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_criteria_assignments,sandbox_exec,"INSERT,SELECT"
annual_review_criteria_library,sandbox_exec,"INSERT,SELECT"
annual_review_cycles,sandbox_exec,"INSERT,SELECT"
annual_review_directory_overrides,sandbox_exec,"INSERT,SELECT"
annual_review_downstream_rewind_repair_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_empty_stage_repair_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_final_backfill_audit_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_final_score_repair_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_head_remap_audit_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_instances,sandbox_exec,"INSERT,SELECT"
annual_review_kra_rehydrate_items,sandbox_exec,"INSERT,SELECT"
annual_review_kra_rehydrate_runs,sandbox_exec,"INSERT,SELECT"
annual_review_mgmt_scope_backfill_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_missing_system_slot_repair_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_orphan_repair_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_proxy_submissions,sandbox_exec,"INSERT,SELECT"
annual_review_rescore_audit_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_reset_archive,sandbox_exec,"INSERT,SELECT"
annual_review_responses,sandbox_exec,"INSERT,SELECT"
annual_review_reviewer_remap_audit_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_reviewer_resync_audit,sandbox_exec,"INSERT,SELECT"
annual_review_role_capabilities,sandbox_exec,"INSERT,SELECT"
annual_review_self_draft_reassign_audit,sandbox_exec,"INSERT,SELECT"
annual_review_self_review_bundle_items,sandbox_exec,"INSERT,SELECT"
annual_review_self_review_library,sandbox_exec,"INSERT,SELECT"
annual_review_settings,sandbox_exec,"INSERT,SELECT"
annual_review_stage_transfer_audit_2026_07,sandbox_exec,"INSERT,SELECT"
annual_review_system_kpi_weights,sandbox_exec,"INSERT,SELECT"
annual_review_system_kpis,sandbox_exec,"INSERT,SELECT"
annual_review_template_archetypes,sandbox_exec,"INSERT,SELECT"
annual_review_templates,sandbox_exec,"INSERT,SELECT"
annual_score_config_audit,sandbox_exec,"INSERT,SELECT"
annual_score_configs,sandbox_exec,"INSERT,SELECT"
app_settings,sandbox_exec,"INSERT,SELECT"
audit_kpi_assignments,sandbox_exec,"INSERT,SELECT"
audit_kpi_level_assignments,sandbox_exec,"INSERT,SELECT"
audit_policies,sandbox_exec,"INSERT,SELECT"
auth_lookup_attempts,sandbox_exec,"INSERT,SELECT"
backup_denylist,sandbox_exec,"INSERT,SELECT"
backup_logs,sandbox_exec,"INSERT,SELECT"
bulk_review_batches,sandbox_exec,"INSERT,SELECT"
bundle_assignment_logs,sandbox_exec,"INSERT,SELECT"
business_unit_sub_units,sandbox_exec,"INSERT,SELECT"
business_units,sandbox_exec,"INSERT,SELECT"
capability_registry,sandbox_exec,"INSERT,SELECT"
client_action_entitlements,sandbox_exec,"INSERT,SELECT"
client_contacts,sandbox_exec,"INSERT,SELECT"
client_error_reports,sandbox_exec,"INSERT,SELECT"
client_implementer_assignments,sandbox_exec,"INSERT,SELECT"
client_module_entitlements,sandbox_exec,"INSERT,SELECT"
client_notification_templates,sandbox_exec,"INSERT,SELECT"
client_setup_checklist,sandbox_exec,"INSERT,SELECT"
client_smtp_config,sandbox_exec,"INSERT,SELECT"
client_urls,sandbox_exec,"INSERT,SELECT"
clients,sandbox_exec,"INSERT,SELECT"
companies,sandbox_exec,"INSERT,SELECT"
confirmation_increment_adjustments,sandbox_exec,"INSERT,SELECT"
confirmation_increment_rules,sandbox_exec,"INSERT,SELECT"
custom_reports,sandbox_exec,"INSERT,SELECT"
dashboard_registry,sandbox_exec,"INSERT,SELECT"
data_classifications,sandbox_exec,"INSERT,SELECT"
departments,sandbox_exec,"INSERT,SELECT"
designations,sandbox_exec,"INSERT,SELECT"
dev_report_entries,sandbox_exec,"INSERT,SELECT"
dev_report_entries_archive_seed,sandbox_exec,"INSERT,SELECT"
divisions,sandbox_exec,"INSERT,SELECT"
eligible_login_users,sandbox_exec,"INSERT,SELECT"
email_change_audit,sandbox_exec,"INSERT,SELECT"
email_dispatch_queue,sandbox_exec,"INSERT,SELECT"
email_logs,sandbox_exec,"INSERT,SELECT"
employee_categories,sandbox_exec,"INSERT,SELECT"
employee_incentive_eligibility,sandbox_exec,"INSERT,SELECT"
employee_incentive_records,sandbox_exec,"INSERT,SELECT"
employee_job_descriptions,sandbox_exec,"INSERT,SELECT"
employee_master_custom_field_values,sandbox_exec,"INSERT,SELECT"
employee_master_custom_fields,sandbox_exec,"INSERT,SELECT"
employee_working_days,sandbox_exec,"INSERT,SELECT"
employment_status_history,sandbox_exec,"INSERT,SELECT"
employment_statuses,sandbox_exec,"INSERT,SELECT"
entitlement_audit,sandbox_exec,"INSERT,SELECT"
export_policies,sandbox_exec,"INSERT,SELECT"
final_score_revisions,sandbox_exec,"INSERT,SELECT"
frequency_config,sandbox_exec,"INSERT,SELECT"
general_eligibility_audit,sandbox_exec,"INSERT,SELECT"
general_eligibility_configs,sandbox_exec,"INSERT,SELECT"
iac_audit_log,sandbox_exec,"INSERT,SELECT"
iac_capabilities,sandbox_exec,"INSERT,SELECT"
iac_role_capabilities,sandbox_exec,"INSERT,SELECT"
iac_roles,sandbox_exec,"INSERT,SELECT"
iac_user_role_assignments,sandbox_exec,"INSERT,SELECT"
impl_console_rate_buckets,sandbox_exec,"INSERT,SELECT"
import_field_settings,sandbox_exec,"INSERT,SELECT"
import_progress,sandbox_exec,"INSERT,SELECT"
incentive_allocation_rules,sandbox_exec,"INSERT,SELECT"
incentive_custom_tab_data,sandbox_exec,"INSERT,SELECT"
incentive_disqualification_rules,sandbox_exec,"INSERT,SELECT"
incentive_eligibility_fields,sandbox_exec,"INSERT,SELECT"
incentive_production_rates,sandbox_exec,"INSERT,SELECT"
incentive_program_custom_tabs,sandbox_exec,"INSERT,SELECT"
incentive_program_mappings,sandbox_exec,"INSERT,SELECT"
incentive_program_types,sandbox_exec,"INSERT,SELECT"
incentive_programs,sandbox_exec,"INSERT,SELECT"
incentive_score_revisions,sandbox_exec,"INSERT,SELECT"
incentive_slab_categories,sandbox_exec,"INSERT,SELECT"
incentive_slabs,sandbox_exec,"INSERT,SELECT"
incentive_stale_zero_cleanup_audit,sandbox_exec,"INSERT,SELECT"
incentive_vessel_rates,sandbox_exec,"INSERT,SELECT"
increment_eligibility_audit,sandbox_exec,"INSERT,SELECT"
increment_eligibility_configs,sandbox_exec,"INSERT,SELECT"
increment_eligibility_criteria,sandbox_exec,"INSERT,SELECT"
increment_eligibility_exclusions,sandbox_exec,"INSERT,SELECT"
increment_inputs,sandbox_exec,"INSERT,SELECT"
increment_method_configs,sandbox_exec,"INSERT,SELECT"
increment_method_slabs,sandbox_exec,"INSERT,SELECT"
increment_run_items,sandbox_exec,"INSERT,SELECT"
increment_runs,sandbox_exec,"INSERT,SELECT"
increment_slabs,sandbox_exec,"INSERT,SELECT"
increment_slabs_audit,sandbox_exec,"INSERT,SELECT"
integration_connector_registry,sandbox_exec,"INSERT,SELECT"
kpi_audit_logs,sandbox_exec,"INSERT,SELECT"
kpi_definitions,sandbox_exec,"INSERT,SELECT"
kpi_dust_emission_rescale_2026_06,sandbox_exec,"INSERT,SELECT"
kpi_mention_access,sandbox_exec,"INSERT,SELECT"
kpi_name_aliases,sandbox_exec,"INSERT,SELECT"
kpi_observation_replies,sandbox_exec,"INSERT,SELECT"
kpi_observations,sandbox_exec,"INSERT,SELECT"
kpi_queries,sandbox_exec,"INSERT,SELECT"
kpi_registry_audit_log,sandbox_exec,"INSERT,SELECT"
kpi_rollback_requests,sandbox_exec,"INSERT,SELECT"
kpi_scanner_skips,sandbox_exec,"INSERT,SELECT"
kpi_standardization_actions,sandbox_exec,"INSERT,SELECT"
kpi_templates,sandbox_exec,"INSERT,SELECT"
kpis,sandbox_exec,"INSERT,SELECT"
kra_categories,sandbox_exec,"INSERT,SELECT"
kra_rollover_logs,sandbox_exec,"INSERT,SELECT"
levels,sandbox_exec,"INSERT,SELECT"
locations,sandbox_exec,"INSERT,SELECT"
menu_access_config,sandbox_exec,"INSERT,SELECT"
menu_access_user_overrides,sandbox_exec,"INSERT,SELECT"
menu_override_audit,sandbox_exec,"INSERT,SELECT"
menu_overrides,sandbox_exec,"INSERT,SELECT"
menu_registry,sandbox_exec,"INSERT,SELECT"
module_registry,sandbox_exec,"INSERT,SELECT"
modules,sandbox_exec,"INSERT,SELECT"
notification_event_registry,sandbox_exec,"INSERT,SELECT"
notifications,sandbox_exec,"INSERT,SELECT"
okv_migration_history,sandbox_exec,"INSERT,SELECT"
org_head_config,sandbox_exec,"INSERT,SELECT"
org_kpi_data_entry_logs,sandbox_exec,"INSERT,SELECT"
org_kpi_data_owners,sandbox_exec,"INSERT,SELECT"
org_kpi_owner_key_backup,sandbox_exec,"INSERT,SELECT"
org_kpi_owner_key_backup_2026_05,sandbox_exec,"INSERT,SELECT"
org_kpi_owner_key_backup_2026_06,sandbox_exec,"INSERT,SELECT"
org_kpi_value_history,sandbox_exec,"INSERT,SELECT"
org_kpi_values,sandbox_exec,"INSERT,SELECT"
password_rollout_logs,sandbox_exec,"INSERT,SELECT"
performance_improvement_plans,sandbox_exec,"INSERT,SELECT"
performance_reviews,sandbox_exec,"INSERT,SELECT"
pip_audit_logs,sandbox_exec,"INSERT,SELECT"
pip_milestones,sandbox_exec,"INSERT,SELECT"
pms_evidence_compression_jobs,sandbox_exec,"INSERT,SELECT"
pms_grades,sandbox_exec,"INSERT,SELECT"
privacy_consent_settings,sandbox_exec,"INSERT,SELECT"
production_daily_entries,sandbox_exec,"INSERT,SELECT"
production_targets,sandbox_exec,"INSERT,SELECT"
