table_name,index_name,definition
access_profile_assignments,access_profile_assignments_pkey,CREATE UNIQUE INDEX access_profile_assignments_pkey ON public.access_profile_assignments USING btree (id)
access_profile_assignments,access_profile_assignments_profile_id_user_id_key,"CREATE UNIQUE INDEX access_profile_assignments_profile_id_user_id_key ON public.access_profile_assignments USING btree (profile_id, user_id)"
access_profile_menu_rights,access_profile_menu_rights_pkey,CREATE UNIQUE INDEX access_profile_menu_rights_pkey ON public.access_profile_menu_rights USING btree (id)
access_profile_menu_rights,access_profile_menu_rights_profile_id_menu_key_key,"CREATE UNIQUE INDEX access_profile_menu_rights_profile_id_menu_key_key ON public.access_profile_menu_rights USING btree (profile_id, menu_key)"
access_profile_org_scope,access_profile_org_scope_pkey,CREATE UNIQUE INDEX access_profile_org_scope_pkey ON public.access_profile_org_scope USING btree (id)
access_profile_org_scope,idx_access_profile_org_scope_profile_id,CREATE INDEX idx_access_profile_org_scope_profile_id ON public.access_profile_org_scope USING btree (profile_id)
access_profiles,access_profiles_name_key,CREATE UNIQUE INDEX access_profiles_name_key ON public.access_profiles USING btree (name)
access_profiles,access_profiles_pkey,CREATE UNIQUE INDEX access_profiles_pkey ON public.access_profiles USING btree (id)
access_profiles,idx_access_profiles_created_by,CREATE INDEX idx_access_profiles_created_by ON public.access_profiles USING btree (created_by)
action_registry,action_registry_pkey,CREATE UNIQUE INDEX action_registry_pkey ON public.action_registry USING btree (action_key)
action_registry,idx_action_registry_module,CREATE INDEX idx_action_registry_module ON public.action_registry USING btree (module_key)
admin_feature_flags,admin_feature_flags_pkey,CREATE UNIQUE INDEX admin_feature_flags_pkey ON public.admin_feature_flags USING btree (key)
ai_feature_registry,ai_feature_registry_pkey,CREATE UNIQUE INDEX ai_feature_registry_pkey ON public.ai_feature_registry USING btree (feature_key)
annual_review_access_audit,annual_review_access_audit_pkey,CREATE UNIQUE INDEX annual_review_access_audit_pkey ON public.annual_review_access_audit USING btree (id)
annual_review_access_audit,idx_ar_access_audit_created_at,CREATE INDEX idx_ar_access_audit_created_at ON public.annual_review_access_audit USING btree (created_at DESC)
annual_review_assignment_overrides,annual_review_assignment_overrides_instance_id_role_key,"CREATE UNIQUE INDEX annual_review_assignment_overrides_instance_id_role_key ON public.annual_review_assignment_overrides USING btree (instance_id, role)"
annual_review_assignment_overrides,annual_review_assignment_overrides_pkey,CREATE UNIQUE INDEX annual_review_assignment_overrides_pkey ON public.annual_review_assignment_overrides USING btree (id)
annual_review_assignment_overrides,idx_ar_overrides_instance,CREATE INDEX idx_ar_overrides_instance ON public.annual_review_assignment_overrides USING btree (instance_id)
annual_review_assignment_rules,annual_review_assignment_rules_pkey,CREATE UNIQUE INDEX annual_review_assignment_rules_pkey ON public.annual_review_assignment_rules USING btree (id)
annual_review_assignment_rules,annual_review_rules_cycle,"CREATE INDEX annual_review_rules_cycle ON public.annual_review_assignment_rules USING btree (cycle_id, priority)"
annual_review_assignment_rules,idx_arar_archetype_grade,"CREATE INDEX idx_arar_archetype_grade ON public.annual_review_assignment_rules USING btree (archetype_code, grade_bucket)"
annual_review_bu_draft_finalise_2026_07,annual_review_bu_draft_finalise_2026_07_pkey,CREATE UNIQUE INDEX annual_review_bu_draft_finalise_2026_07_pkey ON public.annual_review_bu_draft_finalise_2026_07 USING btree (id)
annual_review_bu_head_terminal_audit_2026_07,annual_review_bu_head_terminal_audit_2026_07_pkey,CREATE UNIQUE INDEX annual_review_bu_head_terminal_audit_2026_07_pkey ON public.annual_review_bu_head_terminal_audit_2026_07 USING btree (id)
