table_name,policy_name,permissive,roles,cmd,using_expr,with_check_expr
access_profile_assignments,Admins can manage profile assignments,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)"
access_profile_assignments,Profile-granted users can delete assignments,PERMISSIVE,authenticated,DELETE,"(has_menu_right(auth.uid(), 'admin-access-profiles'::text, 'delete'::text) AND can_grant_access_profile(auth.uid(), profile_id, user_id))",""
access_profile_assignments,Profile-granted users can insert assignments,PERMISSIVE,authenticated,INSERT,"","can_grant_access_profile(auth.uid(), profile_id, user_id)"
access_profile_assignments,Authenticated users can view profile assignments,PERMISSIVE,authenticated,SELECT,true,""
access_profile_menu_rights,Admins can manage menu rights,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)"
access_profile_menu_rights,Authenticated users can view menu rights,PERMISSIVE,authenticated,SELECT,true,""
access_profile_org_scope,Admins can manage org scopes,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)"
access_profile_org_scope,Authenticated users can view org scopes,PERMISSIVE,authenticated,SELECT,true,""
access_profiles,Admins can manage access profiles,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)"
access_profiles,Authenticated users can view access profiles,PERMISSIVE,authenticated,SELECT,true,""
action_registry,action_registry_write,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'platform_owner'::app_role)","has_role(auth.uid(), 'platform_owner'::app_role)"
action_registry,action_registry_read,PERMISSIVE,authenticated,SELECT,true,""
admin_feature_flags,feature_flags_admin_write,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'admin'::app_role)","has_role(auth.uid(), 'admin'::app_role)"
admin_feature_flags,feature_flags_read_authenticated,PERMISSIVE,authenticated,SELECT,true,""
ai_feature_registry,ai_feature_registry_write,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'platform_owner'::app_role)","has_role(auth.uid(), 'platform_owner'::app_role)"
ai_feature_registry,ai_feature_registry_read,PERMISSIVE,authenticated,SELECT,true,""
annual_review_access_audit,ar_access_audit_insert,PERMISSIVE,authenticated,INSERT,"","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
annual_review_access_audit,ar_access_audit_read,PERMISSIVE,authenticated,SELECT,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))",""
annual_review_assignment_overrides,ar_overrides_admin_hr_all,PERMISSIVE,authenticated,ALL,"(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))","(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'hr_pms'::app_role))"
