publication,table_name
supabase_realtime,public.import_progress
supabase_realtime,public.kpi_rollback_requests
supabase_realtime,public.kpis
supabase_realtime,public.notifications
supabase_realtime,public.org_kpi_values
supabase_realtime,public.review_submissions
supabase_realtime,public.safety_asset_calibrations
supabase_realtime,public.safety_asset_evidence
supabase_realtime,public.safety_assets
supabase_realtime,public.safety_audit_run_responses
supabase_realtime,public.safety_audit_runs
supabase_realtime,public.safety_audit_template_items
supabase_realtime,public.safety_audit_templates
supabase_realtime,public.safety_drill_findings
supabase_realtime,public.safety_drill_participants
supabase_realtime,public.safety_emergency_contacts
supabase_realtime,public.safety_emergency_drills
supabase_realtime,public.safety_incident_evidence
supabase_realtime,public.safety_incident_progress_logs
supabase_realtime,public.safety_incident_timeline
supabase_realtime,public.safety_incidents
supabase_realtime,public.safety_module_access
supabase_realtime,public.safety_notifications
supabase_realtime,public.safety_permit_approvals
supabase_realtime,public.safety_permits
supabase_realtime_messages_publication,realtime.messages_2026_07_25
supabase_realtime_messages_publication,realtime.messages_2026_07_26
supabase_realtime_messages_publication,realtime.messages_2026_07_27
supabase_realtime_messages_publication,realtime.messages_2026_07_28
supabase_realtime_messages_publication,realtime.messages_2026_07_29
supabase_realtime_messages_publication,realtime.messages_2026_07_30
supabase_realtime_messages_publication,realtime.messages_2026_07_31
