relname,total,bytes,n_live_tup,n_dead_tup,seq_scan,idx_scan
org_kpi_data_entry_logs,108 MB,113754112,89964,0,8509,203106
notifications,91 MB,95502336,110218,5326,6417,176552
kpis,62 MB,65282048,19472,62,54864,609880995
kpi_audit_logs,53 MB,55967744,111409,477,22051,185119
email_logs,31 MB,32456704,93378,0,1483,3827
review_submissions,12 MB,13017088,14616,1250,18505,9737451
org_kpi_values,11 MB,11657216,4498,935,49241312,564911
annual_review_responses,6032 kB,6176768,5879,510,5400,84327
system_audit_logs,6008 kB,6152192,10867,68,334,1395
annual_review_instances,5376 kB,5505024,2580,3,58897,35108489
annual_review_templates,4672 kB,4784128,59,6,7872,59135
sub_period_submissions,4104 kB,4202496,6487,20,945,255522
pms_evidence_compression_jobs,2896 kB,2965504,2977,0,180,29156
profiles,2896 kB,2965504,2668,527,256324,2908661978
employee_incentive_records,2208 kB,2260992,6239,0,445,24077
kpi_templates,2208 kB,2260992,926,0,2949,46410
kpi_observations,1432 kB,1466368,2293,138,238,690809
entitlement_audit,1280 kB,1310720,2529,0,111,113
production_daily_entries,1272 kB,1302528,3431,605,672,33657
annual_review_proxy_submissions,1264 kB,1294336,2035,75,66,8650
org_kpi_data_owners,1192 kB,1220608,250,27,87358319,165187757
template_bundle_items,1064 kB,1089536,1977,0,1116,6154
client_error_reports,824 kB,843776,552,0,65,4
employment_status_history,720 kB,737280,2685,0,197,10
incentive_program_mappings,712 kB,729088,522,1,720,1724
dev_report_entries,632 kB,647168,793,0,132,1708
bulk_review_batches,600 kB,614400,505,0,80,2
audit_kpi_level_assignments,576 kB,589824,1603,30,2217,68078
annual_review_reset_archive,568 kB,581632,220,12,35,26
kra_rollover_logs,536 kB,548864,64,0,776,0
annual_review_access_audit,528 kB,540672,394,0,21,23
training_needs,480 kB,491520,965,20,2404,320
kpi_queries,408 kB,417792,963,20,395832,717
kpi_name_aliases,408 kB,417792,260,9,37402,78553
kpi_standardization_actions,400 kB,409600,245,0,84,3
annual_review_head_remap_audit_2026_07,400 kB,409600,849,0,25,0
user_roles,384 kB,393216,835,21,123673,4191550288
safety_audit_log,328 kB,335872,483,6,83,1
kpi_observation_replies,328 kB,335872,597,33,117,11349
okv_migration_history,304 kB,311296,176,0,82,0
iac_user_role_assignments,288 kB,294912,1,51,136,1575661589
safety_incidents,264 kB,270336,50,23,64424698,20881
org_kpi_owner_key_backup,240 kB,245760,233,0,245,0
workflow_config,240 kB,245760,397,124,1074183,175002141
safety_notifications,216 kB,221184,314,20,180,1131
kpi_definitions,208 kB,212992,119,5,30695,134218
designations,208 kB,212992,276,0,252,1413
annual_review_final_backfill_audit_2026_07,192 kB,196608,898,0,12,0
access_profile_org_scope,192 kB,196608,854,40,38736,8
annual_review_criteria_assignments,184 kB,188416,40,16,329,2126
app_settings,176 kB,180224,1,4,24837,56994
safety_role_permissions,176 kB,180224,352,63,356,563
kpi_rollback_requests,176 kB,180224,243,58,2020,61650
admin_feature_flags,168 kB,172032,3,18,82,43227
password_rollout_logs,168 kB,172032,300,0,242,526
email_dispatch_queue,168 kB,172032,32,19,101,0
