table_name,classification,frontend_files,edge_files,db_function_mentions,trigger_mentions,write_ops,sample_frontend,sample_edge
access_profile_assignments,actively_used_frontend,1,0,6,0,"delete,upsert",src/hooks/useAccessProfiles.ts,
access_profile_menu_rights,actively_used_frontend,1,0,4,0,"delete,insert",src/hooks/useAccessProfiles.ts,
access_profile_org_scope,actively_used_frontend,1,0,3,0,"delete,insert",src/hooks/useAccessProfiles.ts,
access_profiles,actively_used_frontend,1,0,6,0,"delete,insert,update",src/hooks/useAccessProfiles.ts,
action_registry,actively_used_frontend,1,0,0,1,,src/pages/platform/PlatformSettings.tsx,
admin_feature_flags,actively_used_frontend,2,0,3,0,update,src/components/admin/FeatureFlagsTab.tsx,
ai_feature_registry,apparently_unused,0,0,0,0,,,
annual_review_access_audit,actively_used_frontend,1,0,12,0,,src/hooks/useAccessControlAdmin.ts,
annual_review_assignment_overrides,db_internal_only,0,0,9,0,,,
annual_review_assignment_rules,actively_used_frontend,5,0,4,1,"delete,insert,update,upsert",src/components/annual-review/AnnualReviewExportMenu.tsx,
annual_review_bu_draft_finalise_2026_07,historical_repair_object,0,0,0,0,,,
annual_review_bu_head_terminal_audit_2026_07,historical_repair_object,0,0,2,0,,,
annual_review_bu_removal_repair_2026_07,historical_repair_object,0,0,0,0,,,
annual_review_criteria_assignments,actively_used_frontend,2,0,0,1,"delete,insert,update",src/services/annualReview/bfclFormsImport.ts,
annual_review_criteria_library,actively_used_frontend,3,0,0,1,"delete,upsert",src/components/annual-review/CriteriaLibraryImportDialog.tsx,
annual_review_cycles,actively_used_frontend,4,1,18,2,upsert,src/components/annual-review/KraRehydrateCard.tsx,supabase/functions/annual-review-reminders/index.ts
annual_review_directory_overrides,actively_used_frontend,1,0,11,1,,src/hooks/useAccessControlAdmin.ts,
annual_review_downstream_rewind_repair_2026_07,historical_repair_object,0,0,1,0,,,
annual_review_empty_stage_repair_2026_07,historical_repair_object,0,0,0,0,,,
annual_review_final_backfill_audit_2026_07,historical_repair_object,0,0,0,0,,,
annual_review_final_score_repair_2026_07,historical_repair_object,0,0,0,0,,,
annual_review_head_remap_audit_2026_07,historical_repair_object,0,0,0,0,,,
annual_review_instances,actively_used_frontend,8,0,156,18,"insert,update",src/components/annual-review/FinalScoreIntegrityCard.tsx,
annual_review_kra_rehydrate_items,actively_used_frontend,1,0,3,0,,src/services/annualReview/kraRehydrate.ts,
annual_review_kra_rehydrate_runs,actively_used_frontend,1,0,7,0,,src/services/annualReview/kraRehydrate.ts,
annual_review_mgmt_scope_backfill_2026_07,historical_repair_object,0,0,0,0,,,
annual_review_missing_system_slot_repair_2026_07,historical_repair_object,0,0,0,0,,,
annual_review_orphan_repair_2026_07,historical_repair_object,0,0,1,0,,,
annual_review_proxy_submissions,actively_used_frontend,1,0,4,0,insert,src/services/annualReview/proxySubmission.ts,
