table_name,rls_enabled,comment,total_bytes,policy_count,trigger_count,column_count,est_rows
access_profile_assignments,t,"",40960,4,0,5,-1
access_profile_menu_rights,t,"",90112,2,0,7,63
access_profile_org_scope,t,"",196608,2,0,10,854
access_profiles,t,"",65536,2,0,6,5
action_registry,t,"",49152,2,1,9,-1
admin_feature_flags,t,"",172032,2,0,8,-1
ai_feature_registry,t,"",16384,2,0,5,-1
annual_review_access_audit,t,"",540672,2,0,8,392
annual_review_assignment_overrides,t,"",65536,2,0,7,-1
annual_review_assignment_rules,t,"",131072,2,1,14,41
annual_review_bu_draft_finalise_2026_07,t,"",32768,1,0,22,-1
annual_review_bu_head_terminal_audit_2026_07,t,"",81920,1,0,13,-1
annual_review_bu_removal_repair_2026_07,t,"",32768,1,0,14,-1
annual_review_criteria_assignments,t,"",188416,2,1,11,40
annual_review_criteria_library,t,"",147456,2,1,11,18
annual_review_cycles,t,"",49152,2,2,23,-1
annual_review_directory_overrides,t,"",16384,4,1,8,-1
annual_review_downstream_rewind_repair_2026_07,t,"",32768,1,0,15,-1
annual_review_empty_stage_repair_2026_07,t,"",65536,1,0,14,-1
annual_review_final_backfill_audit_2026_07,t,"",196608,1,0,10,898
annual_review_final_score_repair_2026_07,t,"",65536,1,0,15,-1
annual_review_head_remap_audit_2026_07,t,"",409600,1,0,16,841
annual_review_instances,t,"",5505024,5,18,38,2580
annual_review_kra_rehydrate_items,t,"",114688,2,0,17,135
annual_review_kra_rehydrate_runs,t,"",49152,2,0,13,-1
annual_review_mgmt_scope_backfill_2026_07,t,"",65536,1,0,7,57
annual_review_missing_system_slot_repair_2026_07,t,"",32768,1,0,18,-1
annual_review_orphan_repair_2026_07,t,"",32768,1,0,12,-1
annual_review_proxy_submissions,t,"",1294336,2,0,12,2025
annual_review_rescore_audit_2026_07,t,"",32768,1,0,9,-1
annual_review_reset_archive,t,"",581632,1,0,12,204
annual_review_responses,t,"",6176768,5,3,13,5718
annual_review_reviewer_remap_audit_2026_07,t,"",65536,1,0,12,-1
annual_review_reviewer_resync_audit,t,"",155648,1,0,11,138
annual_review_role_capabilities,t,"",32768,2,1,7,-1
annual_review_self_draft_reassign_audit,t,"",65536,1,0,8,84
annual_review_self_review_bundle_items,t,"",24576,2,1,3,-1
annual_review_self_review_library,t,"",49152,4,1,15,-1
annual_review_settings,t,"",49152,4,1,6,-1
annual_review_stage_transfer_audit_2026_07,t,"",65536,1,0,18,-1
annual_review_system_kpi_weights,t,"Weight matrix for annual_review_system_kpis. NULL in department_id / sub_unit_id / grade_bucket means ""applies to all"". Resolver picks the most-specific matching row per KPI.",24576,2,1,10,-1
annual_review_system_kpis,t,Shared library of system-scored KPIs consumed by the Annual Review Template Factory. Editing a row here propagates to every generated template.,49152,2,1,14,-1
annual_review_template_archetypes,t,"",49152,2,1,17,-1
annual_review_templates,t,"",4784128,2,1,10,57
annual_score_config_audit,t,"",49152,2,0,7,-1
annual_score_configs,t,"",49152,2,1,17,-1
app_settings,t,"",180224,2,1,26,-1
audit_kpi_assignments,t,"",40960,4,0,5,-1
audit_kpi_level_assignments,t,"",589824,4,0,5,1603
audit_policies,t,"",81920,2,1,15,-1
auth_lookup_attempts,t,"",49152,2,0,4,-1
backup_denylist,t,"",32768,2,0,4,-1
backup_logs,t,"",106496,4,0,12,62
bulk_review_batches,t,"",614400,2,0,8,484
bundle_assignment_logs,t,"",81920,2,0,8,-1
business_unit_sub_units,t,"",24576,5,0,8,-1
business_units,t,"",106496,2,4,10,42
capability_registry,t,"",32768,2,0,6,-1
client_action_entitlements,t,"",65536,2,1,9,-1
client_contacts,t,"",40960,3,1,17,-1
client_error_reports,t,"",843776,2,0,16,511
client_implementer_assignments,t,"",24576,2,0,5,-1
client_module_entitlements,t,"",65536,2,1,9,-1
client_notification_templates,t,"",32768,3,1,15,-1
client_setup_checklist,t,"",49152,3,1,11,-1
client_smtp_config,t,"",16384,2,1,13,-1
client_urls,t,"",40960,3,1,16,-1
clients,t,"",49152,2,2,12,-1
companies,t,"",32768,2,0,5,-1
confirmation_increment_adjustments,t,"",90112,1,0,12,-1
confirmation_increment_rules,t,"",49152,4,1,16,-1
custom_reports,t,"",24576,2,1,19,-1
dashboard_registry,t,"",16384,2,0,5,-1
data_classifications,t,"",49152,2,1,14,-1
departments,t,"",122880,2,2,10,97
designations,t,"",212992,2,0,6,264
dev_report_entries,t,"",647168,2,1,15,793
dev_report_entries_archive_seed,t,"",57344,1,0,15,65
divisions,t,"",81920,2,0,6,7
email_change_audit,t,"",49152,2,0,7,-1
email_dispatch_queue,t,"",172032,2,0,7,-1
email_logs,t,"",32456704,1,0,10,87075
employee_categories,t,"",49152,2,0,8,-1
employee_incentive_eligibility,t,"",49152,9,1,22,-1
employee_incentive_records,t,"",2260992,8,1,29,6239
employee_job_descriptions,t,"",65536,2,0,9,-1
employee_master_custom_field_values,t,"",40960,4,1,5,-1
employee_master_custom_fields,t,"",65536,4,1,15,-1
employee_working_days,t,"",16384,3,1,7,-1
employment_status_history,t,"",737280,4,0,9,2486
employment_statuses,t,"",49152,2,0,7,-1
entitlement_audit,t,"",1310720,2,0,10,2357
export_policies,t,"",49152,2,1,16,-1
final_score_revisions,t,"",49152,3,0,11,-1
frequency_config,t,"",49152,2,0,8,-1
general_eligibility_audit,t,"",32768,2,0,8,-1
general_eligibility_configs,t,"",49152,4,2,14,-1
iac_audit_log,t,"",106496,1,0,7,52
iac_capabilities,t,"",49152,2,0,6,-1
iac_role_capabilities,t,"",32768,2,0,2,71
iac_roles,t,"",65536,2,1,9,-1
iac_user_role_assignments,t,"",294912,3,0,8,686
impl_console_rate_buckets,t,"",32768,1,0,8,-1
import_field_settings,t,"",65536,4,1,9,-1
import_progress,t,"",106496,4,1,13,32
incentive_allocation_rules,t,"",24576,5,0,8,-1
incentive_custom_tab_data,t,"",24576,4,0,7,-1
incentive_disqualification_rules,t,"",73728,5,1,8,37
incentive_eligibility_fields,t,"",32768,6,0,10,-1
incentive_production_rates,t,"",65536,5,0,10,1
