file,table,line
src/components/admin/AdminDailyEntryDialog.tsx,sub_period_submissions,75
src/components/admin/AdminKpiEditorForm.tsx,kpis,183
src/components/admin/AdminKpiEditorForm.tsx,kpis,214
src/components/admin/AdminKpiEditorForm.tsx,kpis,290
src/components/admin/AuditAssignmentDialog.tsx,profiles,37
src/components/admin/AuditAssignmentDialog.tsx,user_roles,30
src/components/admin/BiMonthlyReanchorSection.tsx,review_submissions,71
src/components/admin/BulkTemplateAssignDialog.tsx,kpis,214
src/components/admin/BulkZeroScoreSection.tsx,business_units,127
src/components/admin/BulkZeroScoreSection.tsx,departments,139
src/components/admin/BulkZeroScoreSection.tsx,divisions,117
src/components/admin/CompetencyManagerTab.tsx,review_periods,63
src/components/admin/CompetencyManagerTab.tsx,skill_competencies,88
src/components/admin/CopyKrasDialog.tsx,kpis,103
src/components/admin/CopyKrasDialog.tsx,kpis,129
src/components/admin/CopyKrasDialog.tsx,kpis,179
src/components/admin/EmailTemplateEditor.tsx,system_settings,539
src/components/admin/FeatureFlagsTab.tsx,profiles,75
src/components/admin/JdManagerTab.tsx,designations,35
src/components/admin/JdManagerTab.tsx,employee_job_descriptions,36
src/components/admin/KraIssuanceConfirmDialog.tsx,kpis,65
src/components/admin/MarkOrgLevelDialog.tsx,kpis,43
src/components/admin/OrgKpiMappingDashboard.tsx,kpis,47
src/components/admin/ReconcileOrphanedKpisDialog.tsx,review_periods,117
src/components/admin/ReviewPeriodAuditLog.tsx,profiles,38
src/components/admin/ReviewPeriodAutoRules.tsx,review_period_auto_rules,45
src/components/admin/ReviewPeriodDepartmentLocks.tsx,departments,31
src/components/admin/ReviewPeriodEmployeeLocks.tsx,departments,47
src/components/admin/ReviewPeriodEmployeeLocks.tsx,profiles,36
src/components/admin/RolloverDialog.tsx,profiles,128
src/components/admin/ScoringFixImpactDialog.tsx,kpis,118
src/components/admin/ScoringFixImpactDialog.tsx,review_submissions,136
src/components/admin/ScoringHealthCheck.tsx,kpis,252
src/components/admin/SmartAssignmentDialog.tsx,kpis,77
src/components/admin/WorkflowConfigExport.tsx,user_roles,179
src/components/admin/kpi-standardization/AffectedKpisTable.tsx,profiles,231
src/components/annual-review/AnnualReviewExportMenu.tsx,annual_review_assignment_rules,207
src/components/annual-review/AnnualReviewExportMenu.tsx,business_units,195
src/components/annual-review/AnnualReviewExportMenu.tsx,departments,185
src/components/annual-review/AnnualReviewExportMenu.tsx,profiles,170
src/components/annual-review/CriteriaLibraryImportDialog.tsx,annual_review_criteria_library,119
src/components/annual-review/KraRehydrateCard.tsx,annual_review_cycles,43
src/components/annual-review/PilotAccessCard.tsx,annual_review_cycles,132
src/components/annual-review/PilotAccessCard.tsx,profiles,485
src/components/annual-review/audience/AudienceEmployeePickerSection.tsx,profiles,62
src/components/dashboard/KpiTimeline.tsx,kpi_audit_logs,259
src/components/incentive/AllocationRulesEditor.tsx,business_units,26
src/components/incentive/BusinessUnitManager.tsx,business_units,23
src/components/incentive/CustomTabDataGrid.tsx,profiles,56
src/components/incentive/IncentiveSlabEditor.tsx,business_units,46
src/components/incentive/IncentiveSlabEditor.tsx,companies,38
src/components/incentive/IncentiveSlabEditor.tsx,departments,50
src/components/incentive/IncentiveSlabEditor.tsx,designations,54
src/components/incentive/IncentiveSlabEditor.tsx,divisions,42
src/components/incentive/IncentiveSlabEditor.tsx,pms_grades,58
src/components/incentive/ProductionRatesTab.tsx,business_units,75
src/components/incentive/ProductionRatesTab.tsx,companies,83
src/components/incentive/ProductionRatesTab.tsx,departments,67
src/components/incentive/ProductionTargetGrid.tsx,business_units,47
src/components/management/DirectReporteesMonitor.tsx,business_units,61
src/components/management/DirectReporteesMonitor.tsx,departments,84
src/components/management/DirectReporteesMonitor.tsx,profiles,43
src/components/management/DirectReporteesMonitor.tsx,profiles,76
src/components/management/RecentAuditLog.tsx,profiles,62
src/components/management/ReviewPeriodStatusWidget.tsx,kpis,63
src/components/management/ReviewPeriodStatusWidget.tsx,review_period_locks,87
src/components/management/ReviewPeriodStatusWidget.tsx,review_periods,51
src/components/pip/PIPCreateDialog.tsx,profiles,66
src/components/platform/DataGovernanceOverviewSubTab.tsx,data_classifications,109
src/components/platform/DataGovernanceTab.tsx,audit_policies,813
src/components/platform/DataGovernanceTab.tsx,data_classifications,128
src/components/platform/DataGovernanceTab.tsx,data_classifications,1621
src/components/platform/DataGovernanceTab.tsx,data_classifications,2011
src/components/platform/DataGovernanceTab.tsx,export_policies,1633
src/components/platform/DataGovernanceTab.tsx,privacy_consent_settings,397
src/components/platform/DataGovernanceTab.tsx,retention_policies,1195
src/components/platform/DataGovernanceTab.tsx,sensitive_fields,2023
src/components/platform/ImplementersAuditTab.tsx,clients,130
src/components/platform/ImplementersTab.tsx,client_implementer_assignments,108
src/components/platform/ImplementersTab.tsx,clients,69
src/components/platform/ImplementersTab.tsx,profiles,96
src/components/platform/ImplementersTab.tsx,user_roles,81
src/components/platform/impl-console/CommunicationsTab.tsx,client_contacts,118
src/components/platform/impl-console/CommunicationsTab.tsx,client_contacts,133
src/components/platform/impl-console/DeliveryLogsTab.tsx,profiles,166
src/components/platform/impl-console/TemplatesTab.tsx,client_notification_templates,86
src/components/review/KpiJourneySection.tsx,kpi_audit_logs,396
src/components/review/KpiJourneySection.tsx,kpi_name_aliases,272
src/components/review/KpiJourneySection.tsx,kpis,206
src/components/review/KpiJourneySection.tsx,kpis,314
src/components/review/KpiJourneySection.tsx,profiles,418
src/components/review/KpiJourneySection.tsx,review_submissions,336
src/components/review/PreviousMonthsScoreMini.tsx,kpis,83
src/components/review/PreviousMonthsScoreMini.tsx,review_submissions,96
src/components/safety/EvidencePreviewDialog.tsx,profiles,63
src/components/safety/settings/SafetyPermissionsTab.tsx,safety_permission_keys,29
src/components/safety/settings/SafetyPermissionsTab.tsx,safety_role_permissions,41
src/components/safety/settings/SafetyPermissionsTab.tsx,safety_user_permission_overrides,53
src/contexts/AuthContext.tsx,user_roles,178
src/hooks/annualReview/useInstanceLockedResponses.ts,annual_review_responses,22
src/hooks/useAccessControlAdmin.ts,annual_review_directory_overrides,127
src/hooks/useAccessProfiles.ts,access_profile_assignments,91
src/hooks/useAccessProfiles.ts,access_profile_menu_rights,79
src/hooks/useAccessProfiles.ts,access_profile_org_scope,67
src/hooks/useAccessProfiles.ts,access_profiles,54
src/hooks/useAdminDataEntry.ts,kpis,908
src/hooks/useAllRollbackRequests.ts,kpi_rollback_requests,27
src/hooks/useAllRollbackRequests.ts,kpi_rollback_requests,74
src/hooks/useAllRollbackRequests.ts,org_kpi_data_entry_logs,110
src/hooks/useAllRollbackRequests.ts,profiles,48
src/hooks/useAnnualScoreConfig.ts,annual_score_configs,64
src/hooks/useAuditAssignments.ts,audit_kpi_assignments,24
src/hooks/useAuditAssignments.ts,audit_kpi_assignments,49
src/hooks/useAuditAssignments.ts,kpis,149
src/hooks/useAuditKpiAssignments.ts,audit_kpi_level_assignments,23
src/hooks/useAuditKpiAssignments.ts,profiles,33
src/hooks/useAuditKpiAssignments.ts,user_roles,100
src/hooks/useAuditReassignment.ts,kpis,41
src/hooks/useAuditorWorkloadSummary.ts,audit_kpi_assignments,22
src/hooks/useAuditorWorkloadSummary.ts,audit_kpi_level_assignments,28
src/hooks/useAuditorWorkloadSummary.ts,kpis,81
src/hooks/useAuditorWorkloadSummary.ts,profiles,41
src/hooks/useBackups.ts,backup_logs,41
src/hooks/useBottleneckReport.ts,profiles,71
src/hooks/useBulkReview.ts,audit_kpi_assignments,496
src/hooks/useBulkReview.ts,audit_kpi_level_assignments,500
src/hooks/useBulkSignoffPreviewData.ts,kpis,50
src/hooks/useBulkSignoffPreviewData.ts,review_submissions,59
src/hooks/useCompanies.ts,designations,209
src/hooks/useCompanies.ts,pms_grades,225
src/hooks/useCompanies.ts,sub_branches,191
src/hooks/useCompanyFilter.ts,companies,23
src/hooks/useCompliancePenalty.ts,kpi_audit_logs,165
src/hooks/useCompliancePenalty.ts,kpi_audit_logs,428
src/hooks/useCompliancePenalty.ts,kpi_queries,154
src/hooks/useCompliancePenalty.ts,kpis,134
src/hooks/useCompliancePenalty.ts,kpis,209
src/hooks/useCompliancePenalty.ts,kpis,445
src/hooks/useCompliancePenalty.ts,profiles,459
src/hooks/useComplianceSubFactors.ts,kpi_queries,56
src/hooks/useComplianceSubFactors.ts,kpi_queries,142
src/hooks/useComplianceSubFactors.ts,kpis,40
src/hooks/useComplianceSubFactors.ts,kpis,123
src/hooks/useComplianceSubFactors.ts,review_submissions,168
src/hooks/useConfirmationIncrementRule.ts,confirmation_increment_rules,80
src/hooks/useCumulativeKpis.ts,kpis,58
src/hooks/useCumulativeKpis.ts,kpis,216
src/hooks/useCustomReports.ts,custom_reports,34
src/hooks/useDefinitionSplit.ts,kpi_name_aliases,91
src/hooks/useDummyEmployees.ts,profiles,41
src/hooks/useEmailNotificationSettings.ts,system_settings,90
src/hooks/useEmailTemplateSchedules.ts,system_settings,25
src/hooks/useEmployeeWorkingDays.ts,employee_working_days,27
src/hooks/useEmployeeWorkingDays.ts,employee_working_days,124
src/hooks/useEntitlement.ts,client_action_entitlements,59
src/hooks/useEntitlement.ts,client_module_entitlements,55
src/hooks/useFrequencyConfig.ts,frequency_config,24
src/hooks/useImplementersAuditLog.ts,clients,172
src/hooks/useImplementersAuditLog.ts,profiles,161
src/hooks/useIncentiveCustomTabs.ts,incentive_custom_tab_data,127
src/hooks/useIncentiveCustomTabs.ts,incentive_program_custom_tabs,42
src/hooks/useIncentiveCustomTabs.ts,profiles,137
src/hooks/useIncentiveEligibility.ts,departments,99
src/hooks/useIncentiveEligibility.ts,employee_incentive_eligibility,36
src/hooks/useIncentiveProgramTypes.ts,incentive_program_types,10
src/hooks/useIncentivePrograms.ts,incentive_disqualification_rules,210
src/hooks/useIncentivePrograms.ts,incentive_eligibility_fields,307
src/hooks/useIncentivePrograms.ts,incentive_eligibility_fields,323
src/hooks/useIncentivePrograms.ts,incentive_slabs,74
src/hooks/useIncentiveRecords.ts,kpis,97
src/hooks/useIncentiveRevisions.ts,incentive_score_revisions,10
src/hooks/useIncrementEligibility.ts,business_units,434
src/hooks/useIncrementEligibility.ts,companies,432
src/hooks/useIncrementEligibility.ts,divisions,433
src/hooks/useIncrementEligibility.ts,employee_categories,436
src/hooks/useIncrementEligibility.ts,increment_eligibility_configs,188
src/hooks/useIncrementEligibility.ts,increment_eligibility_configs,206
src/hooks/useIncrementEligibility.ts,increment_eligibility_criteria,290
src/hooks/useIncrementEligibility.ts,increment_eligibility_exclusions,469
src/hooks/useIncrementEligibility.ts,levels,435
src/hooks/useIncrementEligibility.ts,locations,437
src/hooks/useIncrementInputs.ts,profiles,69
src/hooks/useIncrementMethod.ts,increment_method_configs,104
src/hooks/useIncrementMethod.ts,increment_method_configs,143
src/hooks/useIncrementMethod.ts,increment_method_configs,222
src/hooks/useIncrementMethod.ts,increment_method_slabs,87
src/hooks/useIncrementMethod.ts,increment_method_slabs,216
src/hooks/useKpiEmployeeMatrix.ts,profiles,156
src/hooks/useKpiEmployeeMatrix.ts,review_submissions,187
src/hooks/useKpiObservations.ts,kpi_observations,75
src/hooks/useKpiObservations.ts,kpi_observations,99
src/hooks/useKpis.ts,kpi_queries,1579
src/hooks/useKpis.ts,kpi_queries,1628
src/hooks/useKpis.ts,kpis,164
src/hooks/useKpis.ts,kpis,338
src/hooks/useKpis.ts,kpis,355
src/hooks/useKpis.ts,kpis,360
src/hooks/useKpis.ts,kpis,549
src/hooks/useKpis.ts,kpis,953
src/hooks/useKpis.ts,kpis,1671
src/hooks/useKpis.ts,kpis,1761
src/hooks/useKpis.ts,kra_categories,220
src/hooks/useKpis.ts,profiles,226
src/hooks/useKpis.ts,review_periods,645
src/hooks/useKpis.ts,review_periods,1698
src/hooks/useKpis.ts,review_submissions,527
src/hooks/useKpis.ts,review_submissions,580
src/hooks/useManagerSubPeriodOverride.ts,sub_period_submissions,88
src/hooks/useManagerSubPeriodOverride.ts,sub_period_submissions,167
src/hooks/useManagersWithoutKras.ts,user_roles,43
src/hooks/useMenuAccess.ts,menu_access_config,65
src/hooks/useMenuAccess.ts,menu_access_user_overrides,78
src/hooks/useModules.ts,modules,77
src/hooks/useMyKpiLevelAssignments.ts,audit_kpi_level_assignments,19
src/hooks/useMyKpiLevelAssignments.ts,kpis,30
src/hooks/useObservationReplies.ts,kpi_observation_replies,23
src/hooks/useOrgKpiAuditLog.ts,profiles,50
src/hooks/useOrgKpiAuditReview.ts,departments,87
src/hooks/useOrgKpiAuditReview.ts,kpis,53
src/hooks/useOrgKpiAuditReview.ts,org_kpi_values,119
src/hooks/useOrgKpiAuditReview.ts,profiles,74
src/hooks/useOrgKpiAuditReview.ts,review_submissions,96
src/hooks/useOrgKpiDataOwner.ts,kpis,132
src/hooks/useOrgKpiDataOwner.ts,kpis,207
src/hooks/useOrgKpiDataOwner.ts,org_kpi_data_owners,65
src/hooks/useOrgKpiDataOwner.ts,org_kpi_data_owners,138
src/hooks/useOrgKpiDataOwner.ts,org_kpi_data_owners,290
src/hooks/useOrgKpiEvidenceFiles.ts,org_kpi_values,195
src/hooks/useOrgKpiImpact.ts,kpis,53
src/hooks/useOrgKpiSubmissionFallback.ts,kpis,62
src/hooks/useOrgKpiSubmissionFallback.ts,review_submissions,88
src/hooks/useOrgKpiSuggestions.ts,kpis,44
src/hooks/useOrgKpiSuggestions.ts,kpis,54
src/hooks/useOrgKpiSuggestions.ts,kra_categories,63
src/hooks/useOrgKpiValues.ts,kra_categories,506
src/hooks/useOrgKpiValues.ts,org_kpi_values,46
src/hooks/useOrgKpiValues.ts,org_kpi_values,285
src/hooks/useOrgKpiValues.ts,org_kpi_values,443
src/hooks/useOrgLevelKpis.ts,kpis,14
src/hooks/useOrganization.ts,business_units,46
src/hooks/useOrganization.ts,departments,64
src/hooks/useOrganization.ts,departments,334
src/hooks/useOrganization.ts,departments,452
src/hooks/useOrganization.ts,designations,100
src/hooks/useOrganization.ts,divisions,26
src/hooks/useOrganization.ts,employee_categories,186
src/hooks/useOrganization.ts,employment_statuses,211
src/hooks/useOrganization.ts,pms_grades,120
src/hooks/useOrganization.ts,profiles,359
src/hooks/useOrganization.ts,profiles,642
src/hooks/useOrganization.ts,profiles,654
src/hooks/useOrganization.ts,review_submissions,572
src/hooks/useOrganization.ts,sub_branches,82
src/hooks/useOrganization.ts,user_roles,335
src/hooks/useOrganization.ts,workflow_templates,499
src/hooks/usePIP.ts,performance_improvement_plans,96
src/hooks/usePIP.ts,performance_improvement_plans,566
src/hooks/usePIP.ts,pip_audit_logs,169
src/hooks/usePendingSelfReviews.ts,kpi_audit_logs,868
src/hooks/usePendingSelfReviews.ts,kpi_audit_logs,941
src/hooks/usePendingSelfReviews.ts,kpi_queries,96
src/hooks/usePendingSelfReviews.ts,kpi_queries,716
src/hooks/usePendingSelfReviews.ts,kpis,75
src/hooks/usePendingSelfReviews.ts,kpis,190
src/hooks/usePendingSelfReviews.ts,kpis,727
src/hooks/usePendingSelfReviews.ts,kpis,885
src/hooks/usePendingSelfReviews.ts,kpis,956
src/hooks/usePendingSelfReviews.ts,kpis,1149
src/hooks/usePendingSelfReviews.ts,profiles,130
src/hooks/usePendingSelfReviews.ts,profiles,147
src/hooks/usePendingSelfReviews.ts,profiles,271
src/hooks/usePendingSelfReviews.ts,profiles,285
src/hooks/usePendingSelfReviews.ts,profiles,297
src/hooks/usePendingSelfReviews.ts,profiles,361
src/hooks/usePendingSelfReviews.ts,profiles,376
src/hooks/usePendingSelfReviews.ts,profiles,750
src/hooks/usePendingSelfReviews.ts,profiles,905
src/hooks/usePendingSelfReviews.ts,profiles,975
src/hooks/usePendingSelfReviews.ts,profiles,1227
src/hooks/usePendingSelfReviews.ts,profiles,1243
src/hooks/usePendingSelfReviews.ts,review_submissions,235
src/hooks/usePendingSelfReviews.ts,review_submissions,1193
