tbl,idx,size,idx_scan
email_logs,idx_email_logs_event_type,1040 kB,0
refresh_tokens,refresh_tokens_updated_at_idx,848 kB,0
refresh_tokens,refresh_tokens_parent_idx,160 kB,0
annual_review_proxy_submissions,arps_employee_idx,88 kB,0
refresh_tokens,refresh_tokens_instance_id_user_id_idx,72 kB,0
refresh_tokens,refresh_tokens_instance_id_idx,56 kB,0
dev_report_entries,dev_report_entries_adr_refs_idx,40 kB,0
sessions,user_id_created_at_idx,40 kB,0
one_time_tokens,one_time_tokens_token_hash_hash_idx,32 kB,0
training_needs,idx_training_needs_status,32 kB,0
one_time_tokens,one_time_tokens_relates_to_hash_idx,32 kB,0
incentive_programs,idx_incentive_programs_created_by,16 kB,0
review_period_auto_rules,idx_review_period_auto_rules_created_by,16 kB,0
increment_eligibility_audit,idx_iea_performed_at,16 kB,0
employee_master_custom_fields,idx_emcf_active_sort,16 kB,0
audit_policies,audit_policies_category_idx,16 kB,0
template_bundles,idx_template_bundles_created_by,16 kB,0
increment_inputs,idx_increment_inputs_employee,16 kB,0
employee_master_custom_field_values,idx_emcfv_values_gin,16 kB,0
annual_review_instances,idx_ari_excluded_at,16 kB,0
increment_eligibility_configs,idx_iec_status,16 kB,0
dev_report_entries,dev_report_entries_type_date_idx,16 kB,0
dev_report_entries,dev_report_entries_module_idx,16 kB,0
safety_incidents,idx_safety_incidents_assigned_status,16 kB,0
annual_review_reset_archive,idx_reset_archive_cycle,16 kB,0
annual_review_reviewer_resync_audit,idx_ar_resync_audit_cycle_created,16 kB,0
annual_review_bu_head_terminal_audit_2026_07,idx_ar_buhead_terminal_audit_cycle,16 kB,0
annual_review_reviewer_resync_audit,idx_ar_resync_audit_new_user,16 kB,0
annual_review_kra_rehydrate_items,idx_kra_rehydrate_items_instance,16 kB,0
kpi_standardization_actions,idx_kpi_std_actions_definition_id,16 kB,0
kpi_standardization_actions,idx_kpi_std_actions_type,16 kB,0
sub_period_submissions,idx_sub_period_manager_value,16 kB,0
safety_permits,idx_safety_permits_requester,16 kB,0
safety_assets,idx_safety_assets_bu,16 kB,0
safety_assets,idx_safety_assets_dept,16 kB,0
safety_assets,idx_safety_assets_category,16 kB,0
sub_period_submissions,idx_sub_period_auditor_value,16 kB,0
safety_permits,idx_safety_permits_bu,16 kB,0
sub_period_submissions,idx_sub_period_management_value,16 kB,0
safety_emergency_drills,idx_safety_drills_status,16 kB,0
safety_emergency_drills,idx_safety_drills_bu,16 kB,0
